Emprestimo_pessoal,Emprestimo_consignado,Emprestimo_limite_especial,Emprestimo_educacao,Emprestimo_viagem,InvestimentoCDB,InvestimentoFundos,InvestimentoFundos_cambiais,InvestimentoFundos_commodities,InvestimentoLCI,InvestimentoLCA,InvestimentoPoupanca,InvestimentoFundosMultimercado,InvestimentoTesouroDireto,Idade,Renda,Regiao,Genero,seguroauto,segurovidaEmp,segurovidaPF,SeguroResidencial,AGE_RANGE,INCOME_RANGE,tipo_financiamiento
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.44057741706919074,-2.4474077147233806,4,1.0,0,1,0,0,3,0,3
0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1.346598742461972,-2.4388447562996833,4,0.0,0,1,0,0,4,0,3
0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1.2581883979514275,-2.4286024875309145,4,0.0,1,0,0,0,5,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.6254277713395603,-2.4258650338292282,2,1.0,0,0,0,0,7,0,1
0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.865422901936192,-2.422799847851424,4,1.0,0,0,0,0,4,0,3
1,0,0,0,0,0,1,0,0,0,1,0,0,0,-1.0949171870162453,-2.4132016111136316,4,1.0,0,0,0,0,8,0,3
0,0,0,0,0,1,1,1,1,1,1,1,0,0,-1.4786214695615307,-2.4104057245255053,0,0.0,1,1,1,1,8,0,3
0,0,0,0,0,1,0,0,0,1,1,0,1,0,1.8365123968697827,-2.4003921061819358,4,0.0,0,0,0,1,3,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1671681794259654,-2.3986950119149038,3,1.0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0283707132834536,-2.3983723607593452,2,1.0,0,0,0,0,4,0,3
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.10311072849206394,-2.3941232736910663,4,0.0,0,0,0,0,1,0,3
0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9137082549814639,-2.38551204462205,4,1.0,0,0,0,0,2,0,3
1,1,1,0,0,1,0,0,0,0,0,0,1,1,2.325055766104775,-2.3850788790943116,4,1.0,1,1,1,1,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.2774755746100823,-2.3838937077236975,2,0.0,1,0,0,1,0,0,3
0,1,0,0,0,0,0,0,1,0,1,0,0,0,-1.4593134632891127,-2.382426534162005,2,1.0,0,0,0,0,8,0,3
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.446880217661913,-2.37930545585804,0,0.0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1.112446824289888,-2.3786004503803446,3,1.0,1,1,1,1,5,0,3
1,1,1,1,1,1,1,0,1,0,0,0,0,1,-0.7896305088931481,-2.373025190845912,4,1.0,1,1,1,1,5,0,1
0,0,0,0,0,1,1,1,1,1,1,1,1,0,0.5657407208877588,-2.371300150415801,2,1.0,0,0,0,0,1,0,3
0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1.469729624567654,-2.3625860286554445,2,1.0,0,0,0,1,7,0,3
0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.5360859002106092,-2.3610324760442323,0,1.0,1,1,1,1,2,0,3
1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.5474335881075566,-2.3439395864804777,4,1.0,0,1,0,0,0,0,3
0,0,0,0,0,1,1,1,1,1,1,1,0,0,-0.30980961617595854,-2.3436258272858987,4,0.0,1,1,1,1,5,0,3
0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1.3992723385209365,-2.3403726398473754,0,1.0,0,0,0,0,5,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7869359506401944,-2.3397921218233977,0,0.0,1,0,0,0,8,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.081452393168375,-2.338585355690404,4,1.0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.1838356369550116,-2.3310055940950614,4,0.0,0,0,0,0,3,0,3
1,1,1,1,1,1,1,0,0,0,0,1,0,0,-0.5520065369615504,-2.326897508122322,3,0.0,1,1,1,1,6,0,3
1,0,0,0,0,1,1,1,1,1,1,1,0,0,0.8590022372096134,-2.323048559298142,3,1.0,1,1,1,1,8,0,3
0,0,0,0,1,0,0,1,1,0,0,0,0,1,-1.0866181316886272,-2.319507018267839,4,0.0,0,0,0,0,4,0,3
0,0,0,0,0,1,1,1,1,1,1,1,0,0,0.3760480276850575,-2.3063786730210043,1,0.0,0,0,0,1,1,0,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.07618114079632353,-2.303843193861577,4,1.0,0,0,0,0,6,0,3
0,0,0,0,0,1,0,1,1,0,1,0,0,0,-1.612083828707717,-2.3005557088592736,2,1.0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.02833454630546323,-2.2970294111906515,4,1.0,0,0,0,0,4,0,1
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1.0620750400221477,-2.2887370224367727,4,0.0,0,0,0,0,6,0,1
1,1,1,0,0,0,0,0,0,1,0,0,0,1,-0.5281255818351389,-2.28539364510831,4,0.0,1,1,1,1,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.009111224271082628,-2.2833408724020803,0,1.0,0,0,0,1,0,0,3
0,0,0,0,1,1,1,1,1,1,1,1,0,0,-0.5815613360364356,-2.2829242205161617,2,1.0,0,0,0,0,6,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9728872000050435,-2.2823119454886847,0,0.0,0,0,0,0,3,0,3
0,1,0,0,0,0,1,0,1,0,0,0,0,1,0.10819178277427935,-2.2811140713166704,4,1.0,0,0,0,0,1,0,1
0,0,0,0,1,1,1,0,0,1,0,1,1,0,-0.3445301537710961,-2.2723681925528147,3,0.0,0,1,0,1,4,0,3
0,0,0,0,0,1,0,0,0,0,1,0,0,1,-0.29431240061520214,-2.270668557725503,3,1.0,0,0,0,0,0,0,3
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.18667873407027658,-2.2674522084110382,3,0.0,1,0,0,0,0,0,3
0,0,0,0,0,0,0,0,1,0,1,0,0,1,-0.686993212392401,-2.2671028813725407,4,1.0,0,0,0,0,2,0,3
0,0,0,0,0,1,0,1,0,0,0,1,1,0,-0.8693183768858902,-2.2648024040390125,3,0.0,0,0,0,0,1,0,3
0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.9882997313277628,-2.2645801050145136,4,0.0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.2524452071291445,-2.2642142643341945,1,1.0,0,0,1,0,0,0,1
1,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.7690522390501766,-2.2642079129334958,3,0.0,0,0,0,0,7,0,3
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.7419686202425894,-2.254148564504885,0,0.0,0,0,1,0,6,0,3
0,0,0,0,0,0,1,0,0,0,0,1,1,0,1.1196603218872532,-2.2528389056805516,4,1.0,0,0,0,0,6,0,3
0,0,0,0,0,0,1,0,0,0,0,1,1,0,-1.5345977509039348,-2.2433613455560595,0,0.0,0,0,0,1,3,0,3
0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.6744599451629367,-2.237638733525388,4,0.0,0,0,0,1,5,0,3
0,0,0,0,1,1,1,0,0,1,0,0,0,0,-0.20361558167766083,-2.2361016945559955,4,1.0,1,1,1,1,8,0,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.36480585363991,-2.2359022605740164,3,1.0,0,0,0,0,4,0,1
0,0,0,0,0,1,0,0,1,1,0,0,0,1,1.864542879660003,-2.2352734719047196,4,0.0,0,0,0,1,0,0,3
0,0,0,0,1,1,0,1,1,0,0,0,0,1,0.9442792649127918,-2.2217462586939267,4,1.0,0,1,0,0,7,0,3
1,1,1,0,0,0,0,1,1,0,1,1,1,0,0.2545261461020769,-2.2216217712402075,4,1.0,1,1,1,1,1,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.4066883844901956,-2.2196604587040576,0,0.0,0,0,0,0,1,0,3
1,0,0,0,0,1,0,0,0,0,0,1,0,1,1.701102300248747,-2.217965904997306,4,0.0,1,0,0,1,4,0,2
0,1,0,0,0,1,1,1,1,1,1,1,0,1,1.8891013086907102,-2.2160236466632552,0,1.0,0,0,0,0,2,0,3
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1.3441582369231289,-2.2092035125916296,4,1.0,0,0,1,0,0,0,3
1,1,1,1,1,1,1,0,0,0,0,1,0,0,-0.06583432639159154,-2.2080716929868958,4,1.0,1,1,1,1,2,0,3
0,0,0,0,0,1,0,0,1,0,0,1,1,1,-0.6924130036267638,-2.205353293487309,0,1.0,1,1,1,1,4,0,1
0,0,0,1,0,1,0,0,0,0,0,0,1,1,-0.5977360255014872,-2.2035291712062786,2,1.0,0,1,0,0,8,0,3
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.7594982575162319,-2.2005706887602323,4,1.0,0,0,1,1,2,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7702531557469209,-2.2001489557537552,1,0.0,0,0,0,0,2,0,3
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.733246143724787,-2.200040981941856,4,0.0,0,0,0,0,0,0,1
0,0,0,0,0,1,1,1,1,1,1,1,1,0,-0.23571090789365337,-2.1899841740735253,0,1.0,1,1,1,1,0,0,3
1,1,1,0,0,0,1,1,0,1,0,0,0,0,0.05992176709323484,-2.18903527480895,0,0.0,1,1,1,1,5,0,0
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.698356237653576,-2.1883035934483135,4,0.0,1,1,1,1,1,0,3
0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.4810564828508387,-2.1784576520832233,3,1.0,0,1,0,0,0,0,3
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.3895489885109182,-2.1761050932639554,3,0.0,0,0,0,0,2,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.614252439000858,-2.1757265497822362,4,1.0,0,1,1,0,5,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.32024111481872725,-2.175542359161938,4,0.0,0,1,0,0,1,0,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.015023783569439928,-2.1748271914431214,2,1.0,0,0,0,0,7,0,3
0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.7397668300536298,-2.1735505599024276,2,1.0,0,1,0,0,4,0,3
0,0,0,1,1,0,1,0,0,0,0,1,0,1,-0.19853452739544544,-2.1719919261706555,0,0.0,0,0,0,0,3,0,3
0,0,0,0,0,1,0,1,0,1,0,1,0,0,-0.08048469957197887,-2.171369488902059,3,0.0,0,0,0,1,0,0,1
0,0,0,1,1,1,1,1,1,1,0,1,0,0,0.6125711045221754,-2.1706733753853418,4,1.0,0,1,0,0,3,0,1
0,0,0,0,0,1,0,1,1,1,1,1,1,1,-1.0425823279094288,-2.1682052210733347,4,1.0,0,0,1,0,6,0,3
1,1,1,1,1,1,1,0,0,0,1,0,0,1,-0.9793232020958494,-2.1671559696777,4,1.0,1,1,0,0,2,0,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7424613883065837,-2.166886670288021,4,1.0,0,0,0,0,3,0,3
0,0,1,0,0,0,0,1,0,0,0,1,0,0,2.1572116063155993,-2.1648605734647304,0,1.0,0,0,0,0,2,0,3
1,1,1,0,0,1,0,0,0,0,0,1,0,0,1.4252010527244616,-2.163422616346258,4,0.0,1,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.3531832834150894,-2.1606292703184113,4,0.0,0,0,0,1,3,0,3
1,1,1,0,0,1,1,1,0,1,1,0,0,0,-0.9680601984369391,-2.1534966473323474,4,1.0,1,1,1,1,2,0,0
0,0,0,0,1,1,0,0,1,0,0,0,0,1,1.0356535577546286,-2.1522238266320746,3,1.0,1,0,0,0,2,0,3
1,1,1,0,0,1,1,1,0,1,0,1,0,0,0.7673738916536658,-2.1514718207891974,0,1.0,1,1,1,1,3,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2644342019523969,-2.1501240535606647,1,0.0,0,0,0,1,2,0,3
0,0,0,0,0,1,0,1,1,1,1,1,1,1,0.29305747440887603,-2.149605779263547,4,1.0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6192611593270921,-2.1433547306946386,4,0.0,1,1,1,1,1,0,2
1,1,1,0,0,0,1,0,1,0,1,0,0,0,1.0843469946258582,-2.139529917193117,4,0.0,1,1,1,1,6,0,3
0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.5191005353431783,-2.139200914636859,0,1.0,0,0,0,0,1,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.1218621120762136,-2.1370452492392893,3,1.0,0,0,0,0,5,0,2
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7429001468609957,-2.1370261950371905,3,0.0,0,0,0,0,6,0,1
0,0,0,1,1,1,1,1,1,1,0,1,0,0,-0.5505669049149228,-2.136871220860111,4,1.0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.46249529735652595,-2.1336218442620067,4,0.0,0,1,0,0,0,0,3
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.7294715199911153,-2.132623404071972,3,0.0,0,0,0,0,2,0,3
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.7758423154573578,-2.131976831480715,3,1.0,0,0,0,0,3,0,1
0,0,0,1,0,1,0,0,0,0,0,1,1,0,-0.9767826749547417,-2.1286067782693117,0,0.0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1.2111886458409369,-2.1278992322313353,4,1.0,0,1,0,1,8,0,3
0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.0778956551708245,-2.125522538089407,3,1.0,0,0,0,0,0,0,3
0,0,0,0,1,0,0,1,0,0,0,1,1,0,-1.4297586642142277,-2.1249750473490705,4,1.0,0,1,0,0,1,0,3
0,0,0,0,0,1,0,0,0,0,0,1,0,1,1.4738098053576536,-2.124127770495694,4,1.0,0,0,0,0,5,0,3
0,0,1,1,1,1,1,1,1,1,1,0,1,1,-0.24756670121882227,-2.1221410523567434,3,0.0,0,0,0,0,4,0,3
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5550705068951071,-2.1191876510312584,0,0.0,1,1,1,1,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,1,1,1.3683779290016882,-2.1165772253435726,3,1.0,1,0,0,0,2,0,1
1,1,1,1,1,1,1,0,0,1,1,0,1,0,-0.7108741675188124,-2.110294419771163,4,1.0,0,1,0,0,7,0,3
1,1,1,1,0,0,0,0,0,0,0,1,0,0,-0.357232789476634,-2.109243898095389,4,0.0,1,1,1,1,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6627888576780694,-2.104551483258252,0,1.0,0,0,0,0,6,0,3
0,0,0,0,0,1,0,1,1,0,1,0,1,0,-0.5954495510744903,-2.103024606529979,4,1.0,0,0,0,0,3,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4025750238043764,-2.102498710552022,4,0.0,1,0,0,0,1,0,1
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.21218402708361683,-2.0982229476008034,3,0.0,1,1,1,1,2,0,1
0,0,0,1,1,1,1,1,1,1,1,1,0,0,-1.168592474108366,-2.0961460395719134,0,1.0,0,0,0,0,5,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1.0767947600763446,-2.096138417891074,4,1.0,0,0,0,0,5,0,3
0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.00152580982575,-2.0955731432287763,0,1.0,1,1,1,1,5,0,3
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.18711749262468852,-2.0929944745445894,4,0.0,0,0,0,0,3,0,3
1,1,1,1,0,0,0,1,0,0,0,0,0,0,-0.9216532359927068,-2.092775986360511,0,1.0,1,1,1,1,3,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.01597064755207342,-2.091697518521656,2,1.0,0,0,1,1,0,6,1
0,0,0,0,0,1,0,0,0,0,1,1,0,0,-1.3779319105356327,-2.0865808301177613,3,0.0,1,1,1,1,5,0,3
1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.3281860958299701,-2.0850742778717293,1,1.0,1,1,1,1,4,0,1
0,0,0,0,0,1,1,1,1,1,1,1,0,0,0.4796168508042108,-2.0842892447452126,4,1.0,1,1,1,1,6,0,3
0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.6343196163334366,-2.0840250264760947,2,1.0,0,0,0,0,8,0,3
1,1,1,0,0,0,1,0,1,0,0,0,0,0,-0.689025634105287,-2.0837989166111757,3,0.0,0,0,1,1,4,0,0
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0.6421259035970609,-2.0819430373266448,2,1.0,0,0,0,0,3,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.021157215686088,-2.0805685942151713,3,0.0,0,0,0,0,5,0,3
0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.2705314670910548,-2.080555891413772,1,0.0,0,0,0,0,3,0,3
0,0,0,0,1,0,0,1,1,1,1,1,1,1,-0.820878992728772,-2.0740660301785443,4,1.0,0,0,0,0,3,0,1
0,0,0,0,0,1,1,0,0,0,0,0,1,0,-0.5870658115088352,-2.0713920904838568,4,1.0,0,0,1,1,5,0,3
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.40450193166546256,-2.071322225076158,0,1.0,0,0,0,0,1,0,3
0,0,0,0,0,1,1,1,1,1,1,1,0,0,-0.7708306080489521,-2.0711672508990784,2,0.0,0,1,0,0,1,0,3
0,0,0,0,0,0,0,1,0,0,0,0,1,1,-0.061515430251709045,-2.06085765728289,0,1.0,0,1,0,0,1,0,3
0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.1708427815573727,-2.0606340879782516,4,0.0,0,0,0,0,8,0,1
0,0,0,0,1,0,0,0,0,0,1,1,0,0,-0.151280722570844,-2.0601272462023936,3,1.0,0,1,0,0,6,0,3
1,0,0,0,0,0,0,1,1,1,1,1,1,1,-0.2626404955893944,-2.0568003825157506,4,0.0,1,1,1,1,4,0,3
0,0,0,0,0,0,0,0,1,0,0,0,1,1,2.3950896309613077,-2.056481542200612,3,1.0,0,0,0,1,1,0,1
0,0,0,0,0,1,0,1,0,0,0,1,0,1,0.14223484646512133,-2.0556368059075165,4,0.0,1,0,0,0,6,0,3
0,0,0,1,1,1,1,1,1,1,1,0,0,0,-1.2928242513085277,-2.053335058293848,0,0.0,0,0,0,0,5,0,3
0,0,0,0,0,1,1,0,1,0,0,0,0,0,1.3633815589575096,-2.0532448684039086,4,1.0,0,1,0,0,4,0,3
0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.388820010264405,-2.0472974167884574,4,1.0,0,0,0,0,4,0,3
0,0,0,0,0,1,1,0,0,0,0,1,0,0,-0.1509419856186965,-2.0426431103555207,0,1.0,0,1,0,0,5,0,3
0,0,1,0,0,1,0,0,0,0,1,1,0,0,0.8695877669642285,-2.0415976698003058,2,0.0,0,0,0,1,6,0,3
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.11081699415342378,-2.0374514754233672,2,1.0,0,0,0,0,0,0,3
1,0,0,0,0,0,0,1,1,1,1,1,1,1,-0.8678787448392626,-2.0346466968742605,4,1.0,0,0,0,0,6,0,2
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.011736435650227053,-2.0345463447432017,4,1.0,0,0,0,0,5,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1441340666799233,-2.032647275933911,0,1.0,0,1,0,1,2,0,3
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.021475123024473037,-2.022171275619383,4,0.0,0,1,0,0,2,0,3
0,0,0,0,0,1,1,1,1,1,1,1,0,0,-1.1514015737868712,-2.0203242882958325,3,0.0,0,0,0,0,7,0,3
0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.13256550596468494,-2.0195544985309954,3,1.0,0,0,1,0,5,0,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.5761930491442904,-2.0171676421479474,0,0.0,0,0,0,0,1,0,3
0,1,0,1,0,1,0,1,1,1,1,1,1,1,2.1020821673535637,-2.003162803604518,4,1.0,0,1,0,0,0,0,3
1,1,1,1,1,1,1,0,0,0,0,1,0,1,1.1713177070897745,-2.001826468897245,3,1.0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1.4587206736228546,-1.998150278172103,0,1.0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,1,1,0,1,0,0,0,-1.1223548801402077,-1.9924695853860517,3,0.0,0,0,0,0,7,0,3
0,0,1,0,0,0,0,0,1,1,0,1,0,1,0.0032680118465349167,-1.9905641651760613,2,0.0,0,0,0,0,3,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.41464870286566563,-1.9887908541006294,0,0.0,1,1,0,0,4,0,3
0,0,0,0,0,0,1,1,0,0,0,0,0,1,-0.22444790423474337,-1.9884084997784919,4,0.0,0,0,0,0,6,0,3
1,1,1,0,0,1,0,1,0,0,0,1,0,1,0.0452713939128475,-1.98481995838301,4,0.0,0,0,1,1,1,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.1523484377695048,-1.9837148146612145,4,1.0,0,0,0,1,2,0,3
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.5371174484312797,-1.9831419183180774,1,0.0,0,0,0,0,5,0,3
0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.20684892008729125,-1.9790732110296783,0,0.0,0,0,0,0,2,0,3
0,0,1,1,1,1,1,1,1,1,0,1,0,0,-1.001933893651707,-1.9788610742462989,4,0.0,0,0,0,0,0,0,3
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.9499892758392554,-1.9708938772082587,2,0.0,0,0,1,0,4,0,3
0,1,0,0,0,1,1,1,1,1,1,1,0,0,0.6498321692584207,-1.97072620022978,0,0.0,0,0,0,0,0,0,1
